RefDes,Value,Name,Pattern,sum,
"C1,C3,C5,C7",100 nF,CAP_0603,CAP_0603,4,1
"C2,C4,C6",1 uF,GRM21BC72A105KE01L,CAP_0805,3,1
C8,10 nF,CAP_0603,CAP_0603,1,1
D1,,BAV99LT1,SOT23,1,1
D2,,M2,SMADIODE,1,1
J1,,HDR-1x15,HDR-1x15,1,1
"R1,R12,R13",0 Om,RES_0603,RES_0603,3,1
R2,1 kOm,RES_0603,RES_0603,1,1
R3,DNP,RES_0603,RES_0603,1,не ставить
R4,2 MOm,RES_0603,RES_0603,1,1
"R5,R7,R11",10 kOm,RES_0603,RES_0603,3,1
R6,100 mOm,RES_2512,RES_2512,1,1
R8,,DNP,RES-10.16/5.1x2.5,1,не ставить
R9,140 Om,RES_2512,RES_2512,1,не ставить
R10,825 Om,RES_0603,RES_0603,1,1
U1,,BTS4141N,SOT223-4,1,1
U2,,LM7301SN1T1G,SOT23-5P95_275X110L40X37N_AD4,1,1
U3,,LM317MBSTT3,SOT223-4,1,1
U4,,MCP42010-E/SL,SOIC14P127_869X599X175L84X42N,1,1
U5,,INA138,SOT23-5,1,не ставить
X1,,DS1069-3,DS1069-3,1,1
