RefDes,Value,Name,Pattern,sum,there is,put
"C1,C6",100 nF,CAP_0603,CAP_0603,2,1,1
"C2,C4",1 uF,GRM21BC72A105KE01L,CAP_0805,2,1,1
"C3,C5",10 nF,CAP_0603,CAP_0603,2,1,1
D1-D2,,BAV99LT1,SOT23,2,1,1
J1,,HDR-1x12,HDR-1x12,1,1,1
J2,,87758-06,HDR-2x3T/2x2/6x4,1,1,1
"R1,R5",825 Om,RES_0603,RES_0603,2,1,1
"R2,R6",10 kOm,RES_0603,RES_0603,2,1,1
R3,DNP,RES_0603,RES_0603,1,1,1
R4,1 kOm,RES_0603,RES_0603,1,1,1
R7,10 mOm,RES_2512,RES_2512,1,1,1
R8,140 Om,RES_2512,RES_2512,1,1,1
R9,2 MOm,RES_0603,RES_0603,1,1,1
U1,,MCP41050_SN,SOIC-8/150mil,1,1,1
U2,,LM317MBSTT3,SOT223-4,1,1,1
U3,,INA138,SOT23-5,1,1,1
